GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
1-2-3... (Automaticos 1973),1-2-3... (Automaticos 1973),1-2-3... (Automaticos 1973),,Automaticos,1973,1,EM,,TV Game Show,https://www.ipdb.org/machine.cgi?id=5247,5247,,?,"JPSalas, Akiles50000, Loserman76, Kiwi",1.0.1,,
2 in 1 (Bally 1964),2 in 1 (Bally 1964),2 in 1 (Bally 1964),,Bally,1964,2,EM,,-,http://www.ipdb.org/machine.cgi?id=2698,2698,,Ted Zale,"Loserman76, Kees",1.0,,
2001 (Gottlieb 1971),2001 (Gottlieb 1971),2001 (Gottlieb 1971),,Gottlieb,1971,1,EM,,Fantasy,http://www.ipdb.org/machine.cgi?id=2697,2697,,Ed Krynski,"Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog",1.0a,,
24 (Stern 2009),24 (Stern 2009),24 (Stern 2009),,Stern,2009,4,SS,,Licensed Theme - Television Show - Law,http://www.ipdb.org/machine.cgi?id=5419,5419,,Steve Ritchie,"32assassin, Freneticamnesic, Amgrim, Fuzzel",2.0.1,twenty4_150,
250 cc (Inder 1992),250 cc (Inder 1992),250 cc (Inder 1992),,Inder,1992,4,SS,,-,http://www.ipdb.org/machine.cgi?id=4089,4089,,?,"JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim",1.0.1,ind250cc,
300 (Gottlieb 1975),300 (Gottlieb 1975),300 (Gottlieb 1975),,Gottlieb,1975,4,EM,,Sports - Bowling,http://www.ipdb.org/machine.cgi?id=2539,2539,,Ed Krynski,"Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0,,
4 Queens (Bally 1970),4 Queens (Bally 1970),4 Queens (Bally 1970),,Bally,1970,1,EM,,-,http://www.ipdb.org/machine.cgi?id=936,936,,Jim Patla,"Loserman76, kees, Wildman",1.01b,,
4 Square (Gottlieb 1971),4 Square (Gottlieb 1971),4 Square (Gottlieb 1971),,Gottlieb,1971,1,EM,,,https://www.ipdb.org/machine.cgi?id=940,940,,Ed Krynski,"Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck",1.0,,
4X4 (Atari 1983),4X4 (Atari 1983),4X4 (Atari 1983),,Atari,1983,4,SS,,-,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=3111,3111,,Milt Loper,TheGhost1787,1.0,fourx4,
8 Ball (Williams 1966),8 Ball (Williams 1966),8 Ball (Williams 1966),,Williams,1966,2,EM,,Billiards,https://www.ipdb.org/machine.cgi?id=764,764,,Norm Clark,"Loserman76, GNance, Wrd1972",1.0,,
